location,total_sqft,bath,balcony,BHK,price
other,750.0,3.0,1.0,5.0,88.0
other,1500.0,4.0,2.0,3.0,180.0
rajaji nagar,1357.0,2.0,1.0,2.0,130.0
kodichikkanahalli,2700.0,7.0,2.0,5.0,125.0
frazer town,1625.0,2.0,1.0,2.0,75.0
hennur,1160.0,2.0,1.0,2.0,49.0
brookefield,1225.0,2.0,2.0,2.0,72.0
other,2150.0,3.0,3.0,3.0,240.0
bannerghatta road,1520.0,2.0,3.0,3.0,80.0
thanisandra,776.5,2.0,2.0,1.0,48.145
yelahanka new town,860.0,1.0,2.0,2.0,31.0
kanakpura road,1600.0,3.0,3.0,3.0,90.0
indira nagar,1128.0,2.0,2.0,2.0,105.0
other,1500.0,3.0,2.0,3.0,115.0
other,1300.0,1.0,1.0,2.0,115.0
other,1376.0,4.0,1.0,4.0,156.0
other,1150.0,2.0,2.0,2.0,69.0
babusapalaya,1450.0,2.0,1.0,2.0,55.99
7th phase jp nagar,2225.0,3.0,1.0,3.0,160.0
mallasandra,1325.0,2.0,1.0,2.0,70.0
talaghattapura,2254.0,3.0,2.0,3.0,170.0
1st block jayanagar,1760.0,3.0,2.0,3.0,115.0
whitefield,1356.0,2.0,1.0,2.0,94.84
yelachenahalli,1110.0,2.0,2.0,2.0,110.0
begur road,1500.0,2.0,3.0,3.0,70.0
sarjapur  road,2180.0,4.0,3.0,3.0,180.0
haralur road,1300.0,2.0,2.0,2.0,79.0
sompura,825.0,2.0,1.0,2.0,32.0
thanisandra,1262.0,2.0,1.0,3.0,83.0
yelahanka,602.0,1.0,1.0,1.0,33.0
vidyaranyapura,1120.0,2.0,1.0,2.0,70.0
kengeri,1200.0,2.0,0.0,2.0,58.0
other,1100.0,5.0,2.0,4.0,121.0
ananth nagar,810.0,2.0,1.0,2.0,25.5
other,1870.0,3.0,3.0,3.0,110.0
talaghattapura,3554.0,4.0,1.0,3.0,340.0
other,1645.0,3.0,2.0,3.0,87.0
kudlu gate,1532.0,3.0,2.0,3.0,83.0
harlur,1174.0,2.0,1.0,2.0,69.0
ardendale,1723.0,3.0,2.0,3.0,95.0
kudlu gate,1113.0,2.0,1.0,2.0,50.0
7th phase jp nagar,1675.0,2.0,2.0,3.0,135.0
harlur,1755.0,3.0,2.0,3.0,130.0
thigalarapalya,3122.0,6.0,2.0,4.0,237.0
thigalarapalya,1297.0,2.0,2.0,2.0,98.0
amruthahalli,1900.0,3.0,1.0,3.0,135.0
electronic city,1652.0,3.0,2.0,3.0,70.0
bannerghatta road,1200.0,2.0,2.0,2.0,65.0
neeladri nagar,1105.0,2.0,2.0,2.0,30.0
raja rajeshwari nagar,1260.0,2.0,1.0,2.0,67.39
whitefield,1170.0,2.0,1.0,2.0,71.0
kanakpura road,712.0,1.0,1.0,1.0,38.44
other,2100.0,3.0,0.0,4.0,210.0
bommasandra,950.0,2.0,1.0,2.0,25.0
kodigehalli,1270.0,2.0,1.0,2.0,98.0
hoodi,1305.0,2.0,1.0,2.0,75.0
tc palaya,1500.0,3.0,0.0,3.0,83.0
other,1150.0,4.0,1.0,4.0,110.0
bommenahalli,3339.0,3.0,0.0,3.0,250.0
ambalipura,1230.0,2.0,2.0,2.0,66.25
choodasandra,1530.0,3.0,2.0,3.0,77.0
other,1200.0,2.0,2.0,2.0,67.0
hosa road,1430.0,2.0,1.0,2.0,97.52
raja rajeshwari nagar,1023.0,2.0,2.0,2.0,42.0
balagere,1012.0,2.0,1.0,2.0,70.0
other,1410.0,3.0,3.0,3.0,90.0
bellandur,1195.0,2.0,2.0,2.0,51.0
electronics city phase 1,1800.0,3.0,2.0,3.0,93.0
sahakara nagar,1160.0,2.0,1.0,2.0,55.0
haralur road,1194.0,2.0,2.0,2.0,46.0
kaggadasapura,1180.0,1.0,0.0,2.0,50.0
other,1100.0,2.0,1.0,2.0,61.0
kengeri,1500.0,6.0,3.0,6.0,150.0
laggere,1800.0,5.0,0.0,5.0,70.0
sahakara nagar,1291.0,2.0,2.0,2.0,72.3
5th phase jp nagar,1041.0,2.0,2.0,2.0,54.0
dodda nekkundi,1100.0,2.0,1.0,2.0,46.75
electronic city phase ii,972.0,2.0,1.0,2.0,40.0
bommanahalli,2875.0,7.0,2.0,7.0,85.0
bannerghatta road,1206.0,2.0,3.0,2.0,53.0
bellandur,850.0,2.0,1.0,2.0,45.0
other,880.0,1.0,0.0,2.0,90.0
other,1500.0,2.0,2.0,3.0,89.99
varthur,1402.0,2.0,2.0,2.0,95.0
sarjapur  road,1346.0,2.0,1.0,2.0,74.03
other,850.0,6.0,2.0,6.0,78.0
ananth nagar,1109.0,2.0,1.0,2.0,60.0
yelahanka,1327.0,2.0,3.0,2.0,85.0
hebbal,1337.0,2.0,1.0,2.0,82.0
other,900.0,2.0,1.0,2.0,70.0
other,1200.0,3.0,2.0,3.0,99.0
channasandra,1104.0,2.0,1.0,2.0,35.5
bannerghatta road,1000.0,2.0,1.0,2.0,44.5
attibele,850.0,1.0,1.0,2.0,25.0
other,600.0,1.0,0.0,1.0,32.0
talaghattapura,1175.0,2.0,2.0,2.0,62.0
uttarahalli,1165.0,1.0,0.0,2.0,42.09
5th phase jp nagar,1150.0,3.0,3.0,2.0,52.5
sarjapur  road,2275.0,4.0,2.0,3.0,187.0
kodigehaali,1200.0,2.0,1.0,2.0,55.0
other,1600.0,2.0,1.0,2.0,160.0
lingadheeranahalli,2236.0,4.0,2.0,4.0,153.0
jakkur,1424.0,2.0,3.0,2.0,80.0
sahakara nagar,1655.0,3.0,1.0,3.0,115.0
other,1762.0,3.0,1.0,3.0,125.0
hulimavu,1242.0,2.0,3.0,2.0,51.0
bommenahalli,26460.0,3.0,1.0,3.0,232.0
gottigere,1230.0,2.0,2.0,3.0,52.0
other,1570.0,2.0,2.0,3.0,95.0
hormavu,583.0,1.0,0.0,1.0,28.275
kalyan nagar,1375.0,3.0,2.0,3.0,75.0
raja rajeshwari nagar,1140.0,2.0,1.0,2.0,48.7
other,3155.0,4.0,2.0,3.0,316.0
other,1140.0,2.0,1.0,2.0,76.0
varthur,1155.0,2.0,2.0,2.0,39.0
whitefield,1204.0,4.0,1.0,4.0,125.0
kaval byrasandra,1020.0,2.0,1.0,2.0,52.0
bellandur,1350.0,2.0,1.0,2.0,79.0
hennur road,950.0,2.0,1.0,2.0,55.0
kr puram,1100.0,2.0,1.0,2.0,39.9
kaggalipura,950.0,2.0,1.0,2.0,50.0
ardendale,1224.0,2.0,2.0,2.0,70.0
jakkur,1290.0,2.0,1.0,2.0,100.0
kanakpura road,700.0,2.0,1.0,2.0,40.0
green glen layout,1715.0,3.0,2.0,3.0,105.0
electronics city phase 1,1125.0,2.0,2.0,2.0,65.0
kodigehaali,1320.0,3.0,0.0,3.0,65.0
marathahalli,1270.0,2.0,3.0,2.0,73.0
akshaya nagar,1884.0,3.0,3.0,3.0,98.0
other,792.0,2.0,1.0,2.0,70.0
whitefield,1180.0,2.0,2.0,2.0,70.0
kasavanhalli,1691.0,3.0,2.0,3.0,104.0
singasandra,1375.0,2.0,3.0,2.0,58.0
marathahalli,1325.0,2.0,2.0,2.0,71.55
mahalakshmi layout,1876.0,3.0,1.0,3.0,150.0
shivaji nagar,1554.0,3.0,3.0,2.0,130.0
ambalipura,1817.0,3.0,3.0,3.0,102.0
kaggadasapura,1275.0,2.0,2.0,2.0,52.0
electronic city,1025.0,2.0,1.0,2.0,54.5
hosakerehalli,2480.0,3.0,2.0,3.0,245.0
kr puram,4600.0,9.0,2.0,9.0,200.0
5th phase jp nagar,1080.0,2.0,1.0,2.0,53.0
hebbal,3900.0,4.0,2.0,4.0,410.0
raja rajeshwari nagar,1255.0,2.0,1.0,2.0,53.87
marathahalli,1950.0,3.0,2.0,3.0,115.0
other,600.0,1.0,0.0,1.0,58.0
kammasandra,674.0,2.0,1.0,2.0,29.0
akshaya nagar,1666.0,3.0,2.0,3.0,95.0
whitefield,1570.0,3.0,3.0,3.0,88.0
hebbal,4235.0,4.0,2.0,4.0,365.0
thanisandra,1492.0,3.0,1.0,3.0,88.0
other,1069.0,2.0,2.0,2.0,55.0
sarjapur  road,1150.0,2.0,2.0,2.0,77.0
other,1600.0,4.0,0.0,5.0,125.0
budigere,1820.0,3.0,2.0,3.0,93.0
hennur road,1936.0,3.0,1.0,3.0,118.0
old madras road,1300.0,2.0,2.0,2.0,100.0
haralur road,1027.0,1.0,2.0,2.0,44.0
kundalahalli,1724.0,3.0,2.0,3.0,128.0
sarjapur  road,1773.5,2.0,2.0,3.0,102.92
raja rajeshwari nagar,1267.0,2.0,1.0,2.0,54.35
kaikondrahalli,1250.0,2.0,1.0,2.0,78.0
bhoganhalli,1707.0,3.0,2.0,3.0,115.0
whitefield,1227.0,2.0,2.0,2.0,70.0
brookefield,1150.0,2.0,3.0,2.0,69.0
other,1237.0,3.0,2.0,3.0,78.0
kudlu,1293.0,2.0,2.0,3.0,85.0
sarjapur  road,1128.0,2.0,2.0,2.0,59.0
murugeshpalya,1407.0,4.0,1.0,6.0,150.0
basavangudi,1350.0,2.0,2.0,3.0,130.0
magadi road,1005.0,2.0,1.0,2.0,55.78
begur,3500.0,4.0,2.0,3.0,185.0
bisuvanahalli,1075.0,2.0,1.0,3.0,48.0
electronic city phase ii,1000.0,2.0,1.0,2.0,28.88
chandapura,1500.0,2.0,1.0,2.0,60.0
other,4200.0,4.0,2.0,4.0,255.0
konanakunte,2400.0,2.0,3.0,3.0,180.0
bannerghatta road,1115.0,2.0,2.0,2.0,78.0
anekal,420.0,1.0,1.0,1.0,12.5
dodda nekkundi,1100.0,2.0,1.0,2.0,41.18
raja rajeshwari nagar,1335.0,2.0,1.0,3.0,56.0
cooke town,2388.0,4.0,3.0,3.0,239.0
nehru nagar,961.0,2.0,2.0,2.0,38.0
kadugodi,1890.0,4.0,3.0,3.0,125.0
anandapura,1200.0,2.0,0.0,3.0,66.0
somasundara palya,1255.0,2.0,2.0,2.0,67.0
dasanapura,965.0,2.0,1.0,2.0,42.5
chikka tirupathi,2646.0,3.0,2.0,3.0,99.0
ngr layout,1019.0,2.0,1.0,2.0,45.9
hennur,1050.0,2.0,2.0,2.0,42.73
whitefield,2140.0,3.0,2.0,3.0,139.0
hennur,1255.0,2.0,1.0,2.0,55.5
hebbal,1255.0,3.0,2.0,3.0,77.68
horamavu agara,1166.0,2.0,1.0,2.0,37.29
other,1205.0,2.0,1.0,2.0,70.0
frazer town,2000.0,3.0,1.0,3.0,200.0
kudlu gate,1564.0,2.0,1.0,3.0,92.0
other,600.0,1.0,1.0,1.0,35.0
tc palaya,1200.0,2.0,0.0,3.0,66.0
banashankari stage v,1630.0,3.0,2.0,3.0,51.35
other,2095.0,3.0,2.0,3.0,142.0
chandapura,1025.0,2.0,2.0,2.0,27.68
akshaya nagar,1300.0,2.0,1.0,2.0,54.0
panathur,1195.0,2.0,1.0,2.0,84.0
whitefield,4400.0,5.0,2.0,4.0,500.0
ananth nagar,1000.0,2.0,1.0,2.0,29.7
electronic city phase ii,630.0,1.0,1.0,1.0,28.35
sarjapur,649.5,1.0,0.0,1.0,17.535
other,1419.0,3.0,2.0,3.0,85.0
whitefield,840.0,1.0,1.0,1.0,57.0
electronics city phase 1,1595.0,3.0,2.0,3.0,75.0
shampura,2650.0,4.0,2.0,4.0,150.0
sonnenahalli,1011.0,2.0,1.0,2.0,50.53
kaggadasapura,1050.0,2.0,2.0,2.0,48.0
kr puram,1075.0,2.0,2.0,2.0,32.25
kannamangala,957.0,2.0,2.0,2.0,54.5
other,1000.0,2.0,1.0,2.0,60.0
other,1310.0,2.0,1.0,2.0,88.0
other,2700.0,3.0,3.0,3.0,200.0
epip zone,1734.0,3.0,3.0,3.0,125.0
harlur,1290.0,2.0,1.0,2.0,87.0
sahakara nagar,2500.0,4.0,2.0,4.0,200.0
harlur,1752.12,3.0,2.0,3.0,116.0
jp nagar,4000.0,4.0,3.0,4.0,441.0
konanakunte,1200.0,2.0,1.0,4.0,130.0
shampura,375.0,2.0,0.0,1.0,26.0
chandapura,850.0,2.0,1.0,2.0,25.4
banashankari,1800.0,3.0,2.0,3.0,125.0
hsr layout,3500.0,5.0,0.0,5.0,350.0
5th phase jp nagar,4000.0,5.0,2.0,5.0,170.0
hebbal kempapura,1600.0,3.0,3.0,3.0,170.0
uttarahalli,1328.0,2.0,1.0,3.0,56.0
vijayanagar,1450.0,3.0,0.0,3.0,100.0
amruthahalli,2650.0,4.0,0.0,3.0,175.0
yeshwanthpur,1855.0,3.0,3.0,3.0,140.0
ramamurthy nagar,1006.0,2.0,1.0,2.0,57.0
nagasandra,2400.0,4.0,1.0,4.0,145.0
other,1370.0,2.0,2.0,2.0,75.0
kanakpura road,2546.0,3.0,2.0,3.0,170.0
subramanyapura,1260.0,2.0,1.0,3.0,75.0
horamavu agara,1060.0,2.0,1.0,2.0,37.0
hrbr layout,1210.0,2.0,1.0,2.0,75.0
vittasandra,1404.0,2.0,1.0,2.0,67.5
raja rajeshwari nagar,1400.0,2.0,2.0,2.0,45.0
bisuvanahalli,700.0,1.0,1.0,2.0,32.0
7th phase jp nagar,1035.0,2.0,1.0,2.0,41.39
uttarahalli,1037.0,2.0,1.0,2.0,36.0
kaggadasapura,1200.0,2.0,2.0,2.0,53.0
kengeri,750.0,2.0,1.0,2.0,36.0
chandapura,700.0,1.0,1.0,2.0,19.0
sultan palaya,550.0,1.0,1.0,2.0,62.0
thigalarapalya,3362.0,5.0,2.0,4.0,249.0
kothanur,2400.0,2.0,1.0,3.0,150.0
thanisandra,1917.0,4.0,2.0,3.0,113.0
7th phase jp nagar,1000.0,2.0,1.0,2.0,61.0
bommasandra industrial area,7000.0,2.0,1.0,2.0,135.0
electronic city,1128.0,2.0,1.0,2.0,65.35
bharathi nagar,1349.0,2.0,2.0,2.0,56.7
hosa road,1311.0,2.0,1.0,3.0,84.86
other,925.0,2.0,2.0,2.0,48.0
horamavu agara,1090.0,2.0,1.0,2.0,46.0
other,3200.0,3.0,0.0,3.0,260.0
other,1065.0,2.0,1.0,2.0,58.0
thanisandra,1093.0,2.0,1.0,2.0,68.1
kothanur,1436.0,3.0,3.0,3.0,70.0
poorna pragna layout,960.0,2.0,3.0,2.0,50.0
whitefield,1740.0,4.0,3.0,3.0,130.0
kengeri,726.0,2.0,1.0,2.0,35.0
balagere,1012.0,2.0,1.0,2.0,68.0
choodasandra,3200.0,4.0,2.0,4.0,375.0
brookefield,2800.0,4.0,2.0,4.0,240.0
other,1500.0,3.0,2.0,3.0,138.0
aecs layout,1005.0,2.0,1.0,2.0,55.0
other,1000.0,2.0,1.0,3.0,65.0
other,1824.0,3.0,3.0,3.0,125.0
other,1480.0,3.0,2.0,3.0,90.0
kanakpura road,900.0,2.0,1.0,2.0,46.0
ardendale,1650.0,3.0,3.0,3.0,82.0
sarjapur  road,1984.0,4.0,1.0,3.0,145.0
kaikondrahalli,1200.0,4.0,2.0,4.0,125.0
old madras road,1100.0,2.0,1.0,2.0,70.0
whitefield,3589.0,5.0,0.0,4.0,400.0
7th phase jp nagar,2200.0,3.0,2.0,3.0,190.0
jp nagar,1107.0,2.0,1.0,2.0,57.0
mahalakshmi layout,1080.0,2.0,1.0,2.0,67.0
jigani,918.0,2.0,2.0,2.0,63.2
other,1602.0,2.0,1.0,3.0,170.0
kaval byrasandra,1180.0,2.0,2.0,2.0,60.0
uttarahalli,1390.0,2.0,2.0,3.0,60.47
cox town,1280.0,2.0,1.0,2.0,120.0
harlur,1749.0,3.0,2.0,3.0,112.0
other,1190.0,2.0,2.0,2.0,100.0
jalahalli,3100.0,4.0,2.0,5.0,265.0
other,3300.0,8.0,3.0,8.0,310.0
hsr layout,1009.0,2.0,2.0,2.0,56.0
yeshwanthpur,1240.0,2.0,2.0,2.0,80.0
bommanahalli,515.0,1.0,1.0,1.0,25.0
frazer town,1315.0,2.0,2.0,2.0,140.0
other,833.0,1.0,1.0,1.0,49.0
garudachar palya,1960.0,3.0,3.0,3.0,160.0
poorna pragna layout,1475.0,2.0,2.0,3.0,58.99
kanakpura road,900.0,2.0,1.0,2.0,46.0
8th phase jp nagar,1100.0,2.0,3.0,2.0,35.0
other,1069.0,2.0,1.0,2.0,55.0
kothanur,1185.0,2.0,2.0,2.0,58.0
binny pete,1245.0,2.0,1.0,2.0,86.28
sarjapur  road,1230.0,2.0,1.0,2.0,65.0
kr puram,1115.0,2.0,2.0,2.0,33.45
other,600.0,3.0,2.0,4.0,65.0
btm 2nd stage,930.0,2.0,2.0,2.0,46.0
bellandur,1410.0,3.0,2.0,2.0,92.0
kengeri,600.0,1.0,1.0,1.0,35.0
5th phase jp nagar,1075.0,2.0,2.0,2.0,60.0
munnekollal,1560.0,3.0,3.0,3.0,75.0
kanakapura,711.0,1.0,1.0,1.0,38.0
marathahalli,2181.0,3.0,2.0,4.0,152.0
devanahalli,658.0,1.0,0.0,1.0,26.91
whitefield,3000.0,4.0,3.0,4.0,306.0
whitefield,1132.0,2.0,1.0,2.0,79.28
other,2400.0,4.0,2.0,6.0,280.0
attibele,420.0,1.0,1.0,1.0,17.0
bellandur,1785.0,3.0,2.0,3.0,120.0
r.t. nagar,1325.0,2.0,2.0,2.0,52.0
other,2357.0,3.0,2.0,3.0,151.0
kalena agrahara,1180.0,2.0,2.0,2.0,85.0
devarachikkanahalli,1230.0,2.0,1.0,2.0,58.0
ardendale,1728.0,3.0,2.0,3.0,95.0
yelahanka,654.0,1.0,1.0,1.0,38.4
ramamurthy nagar,1200.0,2.0,1.0,2.0,76.0
9th phase jp nagar,1200.0,8.0,2.0,8.0,135.0
gottigere,1010.0,2.0,1.0,2.0,35.0
sonnenahalli,896.0,2.0,1.0,2.0,43.75
bommasandra industrial area,1165.0,2.0,1.0,2.0,33.64
bharathi nagar,1384.0,2.0,2.0,2.0,59.0
jigani,918.0,2.0,1.0,2.0,49.0
domlur,640.0,1.0,0.0,1.0,55.0
other,1685.0,3.0,2.0,3.0,95.0
other,1567.0,3.0,1.0,3.0,100.0
indira nagar,2601.0,4.0,2.0,3.0,312.0
brookefield,1225.0,2.0,2.0,2.0,66.5
hennur,1255.0,2.0,2.0,2.0,56.5
kathriguppe,1350.0,3.0,2.0,3.0,80.99
kundalahalli,1047.0,2.0,1.0,2.0,83.0
akshaya nagar,1420.0,2.0,2.0,3.0,75.0
haralur road,1875.0,3.0,3.0,3.0,110.0
old madras road,935.0,2.0,1.0,2.0,32.72
yelahanka,1120.0,2.0,2.0,2.0,55.0
electronic city,630.0,1.0,1.0,1.0,47.0
other,1245.0,2.0,1.0,2.0,120.0
varthur,1395.0,2.0,3.0,3.0,79.0
koramangala,1083.0,2.0,1.0,2.0,100.0
7th phase jp nagar,1400.0,2.0,1.0,3.0,95.0
shivaji nagar,550.0,1.0,1.0,2.0,27.0
subramanyapura,1313.0,2.0,2.0,2.0,73.0
ardendale,2500.0,3.0,1.0,3.0,250.0
jigani,918.0,2.0,2.0,2.0,45.0
electronic city,435.0,1.0,1.0,1.0,21.0
doddathoguru,970.0,2.0,0.0,2.0,33.0
koramangala,1140.0,2.0,1.0,2.0,75.2
hulimavu,1430.0,2.0,2.0,3.0,90.0
other,1495.0,3.0,2.0,3.0,90.0
channasandra,1065.0,2.0,1.0,2.0,40.47
marathahalli,1600.0,3.0,2.0,2.0,88.0
nagarbhavi,1223.0,2.0,1.0,2.0,60.0
hormavu,1200.0,2.0,0.0,2.0,73.0
kammanahalli,782.0,4.0,2.0,6.0,85.0
banjara layout,1200.0,5.0,2.0,5.0,96.0
electronic city phase ii,1800.0,3.0,3.0,3.0,92.0
7th phase jp nagar,1270.0,2.0,1.0,2.0,80.0
kudlu gate,1185.0,2.0,1.0,2.0,50.0
bommanahalli,1020.0,2.0,2.0,2.0,55.0
other,1200.0,2.0,0.0,2.0,75.0
lingadheeranahalli,1682.0,3.0,1.0,3.0,120.0
sarjapur  road,1787.0,3.0,2.0,3.0,98.29
other,1182.0,2.0,1.0,2.0,64.0
electronic city,1650.0,3.0,2.0,3.0,100.0
other,1500.0,3.0,2.0,3.0,149.0
kundalahalli,1397.0,3.0,3.0,3.0,105.0
other,1600.0,2.0,1.0,2.0,90.0
electronic city,1128.0,2.0,1.0,2.0,65.5
somasundara palya,1185.0,2.0,3.0,2.0,70.0
other,596.0,1.0,1.0,1.0,42.0
9th phase jp nagar,1005.0,2.0,1.0,2.0,42.0
9th phase jp nagar,3500.0,4.0,2.0,4.0,300.0
other,2400.0,5.0,2.0,5.0,235.0
shampura,700.0,1.0,2.0,2.0,35.0
kanakpura road,525.0,1.0,1.0,1.0,27.25
mysore road,1560.0,3.0,1.0,3.0,115.0
other,1380.0,2.0,1.0,2.0,80.0
hoodi,1447.0,3.0,2.0,2.0,76.0
ulsoor,1685.0,4.0,2.0,3.0,185.0
bellandur,950.0,1.0,1.0,1.0,40.0
thubarahalli,1085.0,2.0,1.0,2.0,70.0
raja rajeshwari nagar,1185.0,2.0,1.0,2.0,40.17
sarjapur,1525.0,2.0,2.0,3.0,68.0
dodda nekkundi,1999.0,3.0,2.0,3.0,135.0
bisuvanahalli,1075.0,2.0,1.0,3.0,43.0
anjanapura,1070.0,2.0,2.0,2.0,37.0
vidyaranyapura,1050.0,2.0,1.0,2.0,50.0
sarjapur,1500.0,5.0,2.0,3.0,95.0
hennur,1295.0,2.0,1.0,2.0,64.0
cooke town,2300.0,3.0,1.0,3.0,250.0
other,2675.0,4.0,2.0,4.0,290.0
kasavanhalli,1125.0,2.0,1.0,2.0,61.2
hoodi,1220.0,2.0,2.0,2.0,50.89
uttarahalli,1143.0,2.0,2.0,2.0,45.0
sompura,1090.0,2.0,2.0,2.0,28.0
kaggadasapura,1515.0,3.0,2.0,3.0,83.3
kaggadasapura,1540.0,3.0,2.0,3.0,75.0
old madras road,1300.0,2.0,2.0,2.0,100.0
other,1200.0,3.0,2.0,6.0,125.0
7th phase jp nagar,1450.0,2.0,1.0,3.0,100.0
nehru nagar,1775.0,3.0,3.0,3.0,110.0
munnekollal,1200.0,2.0,2.0,2.0,49.5
other,750.0,1.0,2.0,1.0,25.0
ambedkar nagar,1367.0,2.0,2.0,2.0,86.0
rajiv nagar,2340.0,4.0,1.0,4.0,148.0
cv raman nagar,1659.0,3.0,1.0,3.0,135.0
somasundara palya,1178.0,2.0,3.0,2.0,73.0
